,GOOG,Polarity,Subjectivity
2012-01-03,0.0,0.08903076608300485,0.4357281503736729
2012-01-04,0.004313175852880269,0.08903076608300485,0.4357281503736729
2012-01-05,-0.013871474206469947,0.08903076608300485,0.4357281503736729
2012-01-06,-0.013641662343098049,0.08903076608300485,0.4357281503736729
2012-01-09,-0.042398707439881944,0.08903076608300485,0.4357281503736729
2012-01-10,0.0010924849884987875,0.08903076608300485,0.4357281503736729
2012-01-11,0.004525436171816111,0.08903076608300485,0.4357281503736729
2012-01-12,0.0058789732413273565,0.08903076608300485,0.4357281503736729
2012-01-13,-0.007385165261807991,0.08903076608300485,0.4357281503736729
2012-01-17,0.005744101983657934,0.08903076608300485,0.4357281503736729
2012-01-18,0.006888561933840798,0.08903076608300485,0.4357281503736729
2012-01-19,0.010522825989964346,0.08903076608300485,0.4357281503736729
2012-01-20,-0.08377507296627307,0.08903076608300485,0.4357281503736729
2012-01-23,-0.0008020900517878848,0.08903076608300485,0.4357281503736729
2012-01-24,-0.007839110040683939,0.08903076608300485,0.4357281503736729
2012-01-25,-0.01969255608536702,0.08903076608300485,0.4357281503736729
2012-01-26,-0.0024408122985192238,0.08903076608300485,0.4357281503736729
2012-01-27,0.020911803745613078,0.08903076608300485,0.4357281503736729
2012-01-30,-0.003948387494247418,0.08903076608300485,0.4357281503736729
2012-01-31,0.00418907609380148,0.08903076608300485,0.4357281503736729
2012-02-01,0.0012410991372853175,0.08903076608300485,0.4357281503736729
2012-02-02,0.0073688008521557435,0.08903076608300485,0.4357281503736729
2012-02-03,0.01917588088294475,0.08903076608300485,0.4357281503736729
2012-02-06,0.021397530724057257,0.08903076608300485,0.4357281503736729
2012-02-07,-0.0038089671022378813,0.08903076608300485,0.4357281503736729
2012-02-08,0.005076130642585497,0.08903076608300485,0.4357281503736729
2012-02-09,0.0026399205144529425,0.08903076608300485,0.4357281503736729
2012-02-10,-0.009076572619088341,0.08903076608300485,0.4357281503736729
2012-02-13,0.010381024761846325,0.08903076608300485,0.4357281503736729
2012-02-14,-0.003985556022822467,0.08903076608300485,0.4357281503736729
2012-02-15,-0.0068879730137336725,0.08903076608300485,0.4357281503736729
2012-02-16,0.0015853183396283832,0.08903076608300485,0.4357281503736729
2012-02-17,-0.0030996584360027946,0.08903076608300485,0.4357281503736729
2012-02-21,0.015480226743321834,0.08903076608300485,0.4357281503736729
2012-02-22,-0.009869680323265961,0.08903076608300485,0.4357281503736729
2012-02-23,-0.0030101902395973656,0.08903076608300485,0.4357281503736729
2012-02-24,0.006253042932632846,0.08903076608300485,0.4357281503736729
2012-02-27,-0.0009674248513156236,0.08903076608300485,0.4357281503736729
2012-02-28,0.014902082040015197,0.08903076608300485,0.4357281503736729
2012-02-29,-0.00022637431806760144,0.08903076608300485,0.4357281503736729
2012-03-01,0.006712525476884723,0.08903076608300485,0.4357281503736729
2012-03-02,-0.0018476620538455668,0.08903076608300485,0.4357281503736729
2012-03-05,-0.0112676327393616,0.08903076608300485,0.4357281503736729
2012-03-06,-0.015124136433036672,0.08903076608300485,0.4357281503736729
2012-03-07,0.003041525080851315,0.08903076608300485,0.4357281503736729
2012-03-08,0.0005603412867023483,0.08903076608300485,0.4357281503736729
2012-03-09,-0.011348267493997644,0.08903076608300485,0.4357281503736729
2012-03-12,0.008163182727533025,0.08903076608300485,0.4357281503736729
2012-03-13,0.02087094148444879,0.08903076608300485,0.4357281503736729
2012-03-14,-0.00289748951690183,0.08903076608300485,0.4357281503736729
2012-03-15,0.008344265164660358,0.08903076608300485,0.4357281503736729
2012-03-16,0.0062949549564150775,0.08903076608300485,0.4357281503736729
2012-03-19,0.014303087713027463,0.08903076608300485,0.4357281503736729
2012-03-20,-0.0007728803283875152,0.08903076608300485,0.4357281503736729
2012-03-21,0.010244825355244958,0.08903076608300485,0.4357281503736729
2012-03-22,0.009484720838220495,0.08903076608300485,0.4357281503736729
2012-03-23,-0.00535562648540866,0.08903076608300485,0.4357281503736729
2012-03-26,0.01048872445468696,0.08903076608300485,0.4357281503736729
2012-03-27,-0.0035574450499736843,0.08903076608300485,0.4357281503736729
2012-03-28,0.013508043128231728,0.08903076608300485,0.4357281503736729
2012-03-29,-0.011208396672191645,0.08903076608300485,0.4357281503736729
2012-03-30,-0.01105776103531153,0.08903076608300485,0.4357281503736729
2012-04-02,0.008857779425925916,0.08903076608300485,0.4357281503736729
2012-04-03,-0.0066468690410314,0.08903076608300485,0.4357281503736729
2012-04-04,-0.01162424754443181,0.08903076608300485,0.4357281503736729
2012-04-05,-0.004455678697807053,0.08903076608300485,0.4357281503736729
2012-04-09,-0.00234051427200177,0.08903076608300485,0.4357281503736729
2012-04-10,-0.0063090657629346625,0.08903076608300485,0.4357281503736729
2012-04-11,0.014516735874567921,0.08903076608300485,0.4357281503736729
2012-04-12,0.023665066604526164,0.08903076608300485,0.4357281503736729
2012-04-13,-0.04056776684291019,0.08903076608300485,0.4357281503736729
2012-04-16,-0.02966700616845086,0.08903076608300485,0.4357281503736729
2012-04-17,0.005774924747494303,0.08903076608300485,0.4357281503736729
2012-04-18,-0.0034778225185684297,0.08903076608300485,0.4357281503736729
2012-04-19,-0.01341674501077228,0.08903076608300485,0.4357281503736729
2012-04-20,-0.005406315987403487,0.08903076608300485,0.4357281503736729
2012-04-23,0.0025836187738548233,0.08903076608300485,0.4357281503736729
2012-04-24,0.006141258520445003,0.08903076608300485,0.4357281503736729
2012-04-25,0.014053604761448124,0.08903076608300485,0.4357281503736729
2012-04-26,0.009430538907366337,0.08903076608300485,0.4357281503736729
