Date,AAPL,Polarity,Subjectivity
2012-01-04,1,0.1041296897546898,0.41752886002886
2012-01-05,1,0.09016687223391133,0.44824844615347403
2012-01-06,1,0.08825493305144469,0.451205073995772
2012-01-09,0,0.06217769803296119,0.30808745348219024
2012-01-10,1,0.11535414293309025,0.38417755344071136
2012-01-11,0,0.09331409331409335,0.42167937882223605
2012-01-13,0,0.1013817372415638,0.43347604707431336
2012-01-26,0,0.09690458104075989,0.4283224423874828
2012-01-27,1,0.04359749670619232,0.37930928853754936
2012-01-30,1,0.10170454545454546,0.4581439393939393
2012-01-31,1,0.12760788477769608,0.35888848049225425
2012-02-02,0,0.00817498758072529,0.43509376552409357
2012-02-03,1,0.0691950113378685,0.27397959183673465
2012-02-07,1,0.13721338689559032,0.43982683982683973
2012-02-09,1,0.1211312100597815,0.4340730433587579
2012-02-10,1,0.1391522366522366,0.343109668109668
2012-02-13,1,0.07396262333762335,0.38725326381576414
2012-02-14,1,0.10279661696328372,0.4206178183955964
2012-02-15,0,0.06547262235581015,0.36075728432169507
2012-02-16,1,0.10359167893961706,0.3523024054982818
2012-02-17,0,0.1152359307359307,0.3359179550608124
2012-02-21,1,0.0707848537582757,0.40910720877498286
2012-02-22,0,0.03962544572048703,0.4474571571679015
2012-02-23,1,0.08382238068881906,0.4336127748456517
2012-02-24,1,0.12284353989048322,0.4064043046957896
2012-02-27,1,0.09186502220393065,0.3657972328923033
2012-02-28,1,0.055516445360195336,0.41923458485958476
2012-02-29,1,0.019876146580692033,0.38815691883873765
2012-03-02,1,0.06532258064516129,0.3209677419354839
2012-03-05,0,0.09677919883243082,0.4458258988582184
2012-03-06,0,0.10142327796919634,0.4330805724887358
2012-03-07,1,0.12999488177285998,0.47351981652523184
2012-03-08,1,0.14162823855437476,0.4025886871966418
2012-03-09,1,0.07873655722421155,0.4156779137643335
2012-03-12,1,0.07736798019332264,0.3849639515735406
2012-03-13,1,0.08339833113746159,0.4319574000878348
2012-03-14,1,0.06736859476221177,0.3686387046759386
2012-03-15,0,0.12363241837843425,0.42097023162760283
2012-03-16,1,0.09660210479175989,0.41075656862294846
2012-03-19,1,0.12543248509531402,0.43398529924023316
2012-03-20,1,0.12004312195172392,0.4304881329343701
2012-03-21,0,0.08079755892255892,0.4420875420875421
2012-03-22,0,0.14243909685086142,0.47527683249608393
2012-03-23,0,0.14680611423974255,0.44343289945059866
2012-03-26,1,0.08754402528688247,0.41754585308871095
