Date,MSFT,Polarity,Subjectivity
2012-01-03,0.0,0.03500000000000001,0.525
2012-01-04,0.023533744574043336,0.10771701388888891,0.5444965277777779
2012-01-05,0.010219022127443411,0.09678609776050727,0.4655512095079027
2012-01-06,0.015534687194262542,0.09678609776050727,0.4655512095079027
2012-01-09,-0.013162603764879766,0.07759232954545456,0.4227035984848484
2012-01-10,0.0036049330048217865,0.09572510822510825,0.35412878787878777
2012-01-11,-0.004310380971159877,0.09769762845849804,0.46555171277997365
2012-01-12,0.010101011785500491,0.10079545454545454,0.5078896103896102
2012-01-13,0.008928605332398698,0.10079545454545454,0.5078896103896102
2012-01-17,0.0003539852695000345,0.10079545454545454,0.5078896103896102
2012-01-18,-0.0010616209192974013,0.12009458621300721,0.44067428672691816
2012-01-19,-0.003896514923745098,0.12009458621300721,0.44067428672691816
2012-01-20,0.05654332527591599,0.12009458621300721,0.44067428672691816
2012-01-23,0.0006731796977466065,0.12009458621300721,0.44067428672691816
2012-01-24,-0.013118017728330433,0.12009458621300721,0.44067428672691816
2012-01-25,0.007498279973415345,0.12009458621300721,0.44067428672691816
2012-01-26,-0.002029787020927709,0.12009458621300721,0.44067428672691816
2012-01-27,-0.009152541111296375,0.1399790887079022,0.4090466736653178
2012-01-30,0.013000372521410064,0.1399790887079022,0.4090466736653178
2012-01-31,-0.0027017735777682406,0.1399790887079022,0.4090466736653178
2012-02-01,0.012190937768507881,0.1399790887079022,0.4090466736653178
2012-02-02,0.0020074159052649865,0.1399790887079022,0.4090466736653178
2012-02-03,0.009682769991323337,0.1399790887079022,0.4090466736653178
2012-02-06,-0.0013227242271898199,0.1399790887079022,0.4090466736653178
2012-02-07,0.004966890775127464,0.16151515151515153,0.5794949494949494
2012-02-08,0.010214139370987363,0.16151515151515153,0.5794949494949494
2012-02-09,0.0035877666215917703,0.10509428782599511,0.44700263963678605
2012-02-10,-0.008774816565657817,0.10509428782599511,0.44700263963678605
2012-02-13,0.002622972883468133,0.10509428782599511,0.44700263963678605
2012-02-14,-0.0042791840503403344,0.10509428782599511,0.44700263963678605
2012-02-15,-0.006611614601231164,0.10509428782599511,0.44700263963678605
2012-02-16,0.041264616130768594,0.1675,0.32500000000000007
2012-02-17,-0.0012783795958876132,0.13762626262626262,0.4594486531986531
2012-02-21,0.006080002245538951,0.13762626262626262,0.4594486531986531
2012-02-22,-0.00540711897892987,0.01169379915858789,0.31617137166432957
2012-02-23,0.003197956397952284,0.01684948979591838,0.4149744897959183
2012-02-24,0.0035065053418503744,0.01684948979591838,0.4149744897959183
2012-02-27,-0.004129584665785946,0.09770894889942508,0.47392232987471056
2012-02-28,0.016586945272218045,0.11741968769901727,0.35686919226025327
2012-02-29,-0.004079121924244533,0.11083562515915454,0.4240781342840164
2012-03-01,0.01732832776184079,0.03979915433403809,0.4429351656095839
2012-03-02,-0.0065035357399880755,0.03979915433403809,0.4429351656095839
2012-03-05,-0.008728252156044336,-0.13333333333333333,0.18333333333333335
2012-03-06,-0.007547155778289127,0.050853432282003716,0.414647495361781
2012-03-07,0.008871991428244241,0.11912309368191722,0.4538834422657952
2012-03-08,0.005339154416868608,0.11912309368191722,0.4538834422657952
2012-03-09,-0.0006247408345967376,0.11015889413616686,0.47865513274604193
2012-03-12,0.0015630078990578333,0.11015889413616686,0.47865513274604193
2012-03-13,0.01966284333900381,0.11015889413616686,0.47865513274604193
2012-03-14,0.003060985589495191,0.11015889413616686,0.47865513274604193
2012-03-15,0.0024411825039418744,0.11015889413616686,0.47865513274604193
2012-03-16,-0.007610340447459785,0.11015889413616686,0.47865513274604193
2012-03-19,-0.012269880745200301,0.09696969696969697,0.3803030303030302
2012-03-20,-0.006521748974563257,0.09696969696969697,0.3803030303030302
2012-03-21,-0.0025008126384925555,0.2464285714285714,0.444047619047619
2012-03-22,0.0028204676795238193,-0.026185770750988137,0.5398880105401845
2012-03-23,0.0003124321331064994,-0.026185770750988137,0.5398880105401845
2012-03-26,0.018119385182996828,0.06512481962481963,0.3904209441352301
2012-03-27,-0.0021478896857892726,0.05478219696969699,0.3089962121212121
2012-03-28,-0.010147657332237325,0.11254673356946082,0.3364423455332546
2012-03-29,-0.002174579938416632,0.13444444444444448,0.3411111111111111
2012-03-30,0.0043586380837692396,0.13444444444444448,0.3411111111111111
2012-04-02,0.0009300270324252846,-0.00901704397606038,0.3352855841790269
2012-04-03,-0.010839261789829857,-0.03364779874213837,0.34528301886792445
2012-04-04,-0.0228554223718892,0.11806694767221085,0.37114630009366845
2012-04-05,0.009932764533871152,0.11806694767221085,0.37114630009366845
2012-04-09,-0.013324856963999543,0.11806694767221085,0.37114630009366845
2012-04-10,-0.020257265245564815,0.0663594470046083,0.4111879160266257
2012-04-11,-0.00393827372573663,0.08993661100803962,0.49459272020496503
2012-04-12,0.020757781084816962,0.11751954513148541,0.4549395877754084
2012-04-13,-0.005487405646533938,0.11059082892416225,0.3726410934744268
2012-04-16,0.008763423379948065,0.0,0.022222222222222223
2012-04-17,0.011583008017297836,0.0,0.022222222222222223
2012-04-18,-0.009542030519466893,0.10840094873973381,0.41489450580572074
2012-04-19,-0.0041746364959615034,0.10840094873973381,0.41489450580572074
2012-04-20,0.04546910269005133,0.14308635419616733,0.401279618616067
2012-04-23,-0.009253521544744792,0.12075154489276636,0.38421937477280993
2012-04-24,-0.0062265849828623265,0.1694444444444444,0.5138888888888888
2012-04-25,0.00877193108662011,0.18967023172905545,0.499233511586453
2012-04-26,-0.002795030181113156,0.18967023172905545,0.499233511586453
